State,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
A & N Islands,1.1,Total number of pregnant women Registered for ANC,TOTAL,1621,1047,559,690,547,NA,1397,1338,NA,NA,NA,NA,7199
A & N Islands,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,NA,954,487,558,537,NA,1303,1280,NA,NA,NA,NA,5119
A & N Islands,1.2,Number of Pregnant women registered under JSY,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,416,831,394,567,488,NA,515,434,NA,NA,NA,NA,3645
A & N Islands,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,137,768,484,606,520,NA,619,529,NA,NA,NA,NA,3663
A & N Islands,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,1.8,Number of pregnancy test kits used at SC level,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,NA,8,1,1,5,NA,NA,NA,NA,NA,NA,NA,15
A & N Islands,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,NA,109,40,75,58,NA,NA,NA,NA,NA,NA,NA,282
A & N Islands,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,NA,117,41,76,63,NA,NA,NA,NA,NA,NA,NA,297
A & N Islands,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,742,755,316,398,376,NA,1013,1029,NA,NA,NA,NA,4629
A & N Islands,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.1.a,Number of male live births,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.1.b,Number of female live births,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.2,Number of still births,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.2.1,Number of Newborns weighed at birth,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,6.3,PNC maternal complications attended,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,96,13,7,2,9,NA,NA,133,NA,NA,NA,NA,260
A & N Islands,7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,96,13,7,2,9,NA,NA,133,NA,NA,NA,NA,260
A & N Islands,7.2,Number of MTPs conducted at Private Facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,1,2,1,NA,2,NA,1,NA,NA,NA,NA,NA,7
A & N Islands,9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,1,2,1,NA,2,NA,1,NA,NA,NA,NA,NA,7
A & N Islands,9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,107,214,79,142,44,NA,47,57,NA,NA,NA,NA,690
A & N Islands,9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,107,214,79,142,44,NA,47,57,NA,NA,NA,NA,690
A & N Islands,9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,54,108,59,58,69,NA,157,80,NA,NA,NA,NA,585
A & N Islands,9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,54,108,59,58,69,NA,157,80,NA,NA,NA,NA,585
A & N Islands,9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.06,Number of IUCD removals,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.07,Number of Oral Pills cycles distributed,TOTAL,1364,2728,1159,1580,1588,NA,2320,1545,NA,NA,NA,NA,12284
A & N Islands,9.08,Number of Condom pieces distributed,TOTAL,14215,28429,13088,15104,18010,NA,12718,15402,NA,NA,NA,NA,116966
A & N Islands,9.09,Number of Centchroman (weekly) pills given,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.11.2.a,Number of failures following male sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.11.2.b,Number of failures following female sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.11.3.a,Number of deaths following male sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.11.3.b,Number of deaths following female sterilization,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,9.12,Number of Institutions having NSV trained doctors,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated
A & N Islands,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,438,876,424,477,437,NA,543,398,NA,NA,NA,NA,3593
A & N Islands,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,59,118,34,26,396,NA,359,1707,NA,NA,NA,NA,2699
A & N Islands,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,527,1054,505,567,524,NA,630,447,NA,NA,NA,NA,4254
A & N Islands,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,527,1054,505,567,524,NA,630,447,NA,NA,NA,NA,4254
A & N Islands,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,435,870,376,482,474,NA,621,430,NA,NA,NA,NA,3688
A & N Islands,10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,59,NA,NA,NA,NA,NA,359,1707,NA,NA,NA,NA,2125
A & N Islands,10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,22,43,13,33,1360,NA,981,1510,NA,NA,NA,NA,3962
A & N Islands,10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,5,9,27,15,548,NA,1087,1197,NA,NA,NA,NA,2888
A & N Islands,10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.4.2,Number of Immunisation sessions held during the month,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,437,873,373,482,474,NA,621,430,NA,NA,NA,NA,3690
A & N Islands,11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,2408,15491,529,732,612,NA,1944,2172,NA,NA,NA,NA,23888
A & N Islands,11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,13.1,Number of Patients operated for cataract,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,13.3,Number of School children detected with Refractive errors,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,13.4,Number of children provided free glasses,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,13.5,Number of eyes collected through eye donation,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A & N Islands,13.6,Number of eyes utilised for corneal transplant,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
